# time;P_O2, atm;P_He, atm;Flow O2, l/min;Flow He, l/min;FiO2 Env, %;FiO2 sens2, %;P mask, cm H2O;Tmask, gradC;Tnagr, gradC;V, ml;f, 1/min;Tzad, gradC;FiO2 zad, %;Flags;
# POWERON 28.05.2019 16:47:55
1;0;0;0;5;0;0;0;26;26;0;0;64;25;84279808;0
50;0;0;0;5;632;0;248;27;26;0;0;64;25;84279301;0
67;35;0;0;5;211;0;255;27;26;0;0;64;25;84279300;0
80;37;39;0;5;211;0;255;27;26;0;0;64;25;84279296;0
98;37;39;0;5;190;0;255;27;26;0;0;64;25;84344832;0
99;36;39;4;4;190;0;0;27;27;0;0;64;25;84344832;0
100;32;38;9;6;191;0;255;27;28;0;0;64;25;84344832;0
101;32;34;348;973;191;0;222;27;30;463;42;64;25;84344832;0
102;33;36;54;119;191;0;5;27;32;463;42;64;25;84344832;0
103;34;38;4;2;201;0;0;27;34;463;42;64;25;84344832;0
104;31;33;292;647;213;0;234;28;36;2009;22;64;25;84344832;0
105;33;36;99;222;229;0;8;29;38;2009;22;64;25;84344832;0
106;34;39;3;0;242;0;19;29;40;2009;22;64;25;84344832;0
107;33;34;283;719;253;0;225;29;42;2009;22;64;25;84344832;0
108;33;34;255;616;261;0;8;31;44;3256;16;64;25;84344832;0
109;34;39;3;0;267;0;14;32;45;3256;16;64;25;84344832;0
110;31;33;287;823;272;0;233;32;47;2852;22;64;25;84344832;0
111;33;36;87;268;277;0;5;34;48;2852;22;64;25;84344832;0
112;34;36;47;141;280;0;1;35;50;2852;22;64;25;84344832;0
113;34;37;22;61;279;0;0;35;51;2852;22;64;25;84344832;0
114;34;39;3;0;274;0;255;35;53;2852;22;64;25;84344832;0
115;31;33;205;709;268;0;224;36;54;3456;12;64;25;84344832;0
116;33;37;50;84;263;0;16;38;56;3456;12;64;25;84344832;0
117;34;36;34;141;259;0;1;38;57;2456;24;64;25;84344832;0
118;32;37;20;44;258;0;0;39;58;2456;24;64;25;84344832;0
119;31;33;209;660;259;0;236;40;60;2456;24;64;25;84344832;0
120;34;38;15;8;258;0;14;42;61;2456;24;64;25;84344832;0
121;35;40;1;0;256;0;8;41;62;2456;24;64;25;84344832;0
122;31;34;184;560;257;0;246;42;63;2541;13;64;25;84344832;0
123;34;38;12;2;261;0;14;44;64;2541;13;64;25;84344832;0
124;35;40;1;0;264;0;7;44;65;2541;13;64;25;84344832;0
125;31;34;158;495;266;0;247;45;67;2052;19;64;25;84344832;0
126;34;38;8;0;266;0;14;47;68;2052;19;64;25;84344832;0
127;33;36;35;97;265;0;0;47;69;1742;26;64;25;84344832;0
128;32;38;11;21;266;0;0;47;70;1742;26;64;25;84344832;0
129;33;39;1;0;264;0;255;46;71;1742;26;64;25;84344832;0
130;35;40;0;0;261;0;255;45;73;1742;26;64;25;84344832;0
131;35;40;0;0;258;0;255;45;74;1742;26;64;25;84344832;0
132;35;40;0;1;255;0;255;44;75;1742;26;64;25;84344832;0
133;35;40;0;1;254;0;255;44;77;1742;26;64;25;84344832;0
134;35;40;0;2;255;0;255;43;78;1742;26;64;25;84344832;0
135;35;40;0;2;256;0;255;43;79;1742;26;64;25;84344832;0
136;36;40;0;3;260;0;255;43;81;1742;26;64;25;84344832;0
137;36;41;0;3;264;0;255;42;82;1742;26;64;25;84344832;0
138;36;40;0;4;269;0;255;42;83;1742;26;64;25;84344832;0
139;36;40;0;4;275;0;255;42;84;1742;26;64;25;84344832;0
140;31;33;204;655;281;0;239;46;85;502;5;64;25;84344832;0
141;34;38;13;10;287;0;12;51;86;502;5;64;25;84344832;0
142;31;33;185;626;287;0;236;52;86;2588;22;64;25;84344832;0
143;33;36;78;260;285;0;4;55;86;2588;22;64;25;84344832;0
144;34;37;32;117;281;0;1;58;87;2588;22;64;25;84344832;0
145;34;38;10;25;274;0;0;58;87;2588;22;64;25;84344832;0
146;35;40;0;0;285;0;255;57;88;0;0;64;25;84279296;0
# POWERON 28.05.2019 16:50:41
1;37;41;0;2;0;0;255;50;83;0;0;64;25;84279808;0
2;37;41;0;2;141;0;255;50;82;0;0;64;25;84279296;0
14;37;40;0;2;251;0;255;50;78;0;0;64;25;84344832;0
15;37;40;0;2;230;0;255;50;78;0;0;64;25;84344832;0
16;36;40;1;1;230;0;255;50;78;0;0;64;25;84344832;0
17;34;36;79;224;230;0;240;50;78;0;0;64;25;84344832;0
18;31;34;178;521;229;0;247;54;77;0;0;64;25;84344832;0
19;34;39;5;0;231;0;14;56;78;0;0;64;25;84344832;0
20;34;39;1;0;235;0;12;56;79;0;0;64;25;84344832;0
21;31;33;209;636;241;0;240;57;79;2243;16;64;25;84344832;0
22;33;37;54;103;249;0;12;60;79;2243;16;64;25;84344832;0
23;34;39;2;0;254;0;10;60;79;2243;16;64;25;84344832;0
24;31;33;165;466;258;0;241;59;80;2451;17;64;25;84344832;0
25;33;36;52;119;262;0;5;61;80;2451;17;64;25;84344832;0
26;34;38;5;97;266;0;0;61;81;2451;17;64;25;84344832;0
27;33;37;13;23;267;0;0;62;81;1228;25;64;25;84344832;0
28;34;39;2;0;269;0;255;61;82;1228;25;64;25;84344832;0
29;33;33;207;681;270;0;237;62;81;356;23;64;25;84344832;0
30;34;37;33;68;268;0;10;64;82;356;23;64;25;84344832;0
31;34;39;1;0;264;0;7;64;82;356;23;64;25;84344832;0
32;31;33;136;466;262;0;238;63;82;2106;18;64;25;84344832;0
33;33;36;74;214;262;0;1;65;82;2106;18;64;25;84344832;0
34;34;39;3;0;261;0;7;66;81;2106;18;64;25;84344832;0
35;35;39;6;6;259;0;7;65;81;2106;18;64;25;84344832;0
36;35;39;1;0;256;0;0;64;80;2106;18;64;25;84344832;0
37;33;36;47;120;252;0;1;65;80;1724;12;64;25;84344832;0
38;31;33;155;501;249;0;238;66;79;1724;12;64;25;84344832;0
39;34;36;69;183;248;0;5;67;78;1724;12;64;25;84344832;0
40;34;39;3;0;249;0;8;67;78;1724;12;64;25;84344832;0
41;35;39;4;192;250;0;243;66;77;1724;12;64;25;84344832;0
42;32;35;126;381;253;0;251;67;76;2581;12;64;25;84344832;0
43;34;38;15;10;256;0;7;68;76;2581;12;64;25;84344832;0
44;35;40;1;0;257;0;7;67;75;2581;12;64;25;84344832;0
45;31;33;148;493;258;0;238;66;74;1836;16;64;25;84344832;0
46;34;36;76;229;258;0;1;67;74;1836;16;64;25;84344832;0
47;34;39;3;0;258;0;9;67;73;1836;16;64;25;84344832;0
48;35;40;0;0;258;0;3;67;73;1836;16;64;25;84344832;0
49;31;34;133;440;256;0;243;67;72;1831;15;64;25;84344832;0
50;34;36;51;137;252;0;3;67;71;1831;15;64;25;84344832;0
51;34;39;2;0;250;0;8;67;71;1831;15;64;25;84344832;0
52;35;40;0;0;249;0;4;67;71;1831;15;64;25;84344832;0
53;31;34;125;408;249;0;243;66;70;1695;14;64;25;84344832;0
54;33;36;59;178;249;0;0;67;70;1695;14;64;25;84344832;0
55;34;39;3;0;249;0;6;67;69;1695;14;64;25;84344832;0
56;35;40;0;0;249;0;2;66;69;1695;14;64;25;84344832;0
57;31;33;129;417;248;0;238;66;68;1572;14;64;25;84344832;0
58;33;36;71;191;247;0;0;66;68;1572;14;64;25;84344832;0
59;34;39;5;0;247;0;7;67;67;1572;14;64;25;84344832;0
60;35;40;0;0;246;0;5;66;67;1572;14;64;25;84344832;0
61;31;33;142;455;245;0;238;66;67;1655;14;64;25;84344832;0
62;33;36;69;160;244;0;1;66;66;1655;14;64;25;84344832;0
63;34;37;28;77;244;0;0;66;66;1655;14;64;25;84344832;0
64;34;38;6;8;244;0;255;66;65;1655;14;64;25;84344832;0
65;35;40;0;0;245;0;255;66;65;1655;14;64;25;84344832;0
66;35;40;0;0;246;0;255;65;65;1655;14;64;25;84344832;0
67;35;41;0;0;248;0;255;65;65;1655;14;64;25;84344832;0
68;35;41;0;1;249;0;255;64;64;1655;14;64;25;84344832;0
