# time;P_O2, atm;P_He, atm;Flow O2, l/min;Flow He, l/min;FiO2 Env, %;FiO2 sens2, %;P mask, cm H2O;Tmask, gradC;Tnagr, gradC;V, ml;f, 1/min;Tzad, gradC;FiO2 zad, %;Flags;
# POWERON 01.01.0000 01:00:00
1;0;0;0;5;0;0;0;135;135;0;0;0;30;83886592;0
50;0;0;0;4;634;0;248;135;135;0;0;0;30;83886085;0
# POWERON 01.01.0000 01:01:25
1;0;0;0;4;0;0;255;135;135;0;0;0;30;83886592;0
# POWERON 01.01.0000 01:06:13
1;0;0;0;4;0;0;0;135;135;0;0;0;30;83886592;0
45;17;0;0;4;1000;0;247;135;135;0;0;0;30;83886624;0
54;0;0;0;5;1000;0;255;135;135;0;0;0;30;83886592;0
115;0;0;0;3;1000;0;243;135;135;0;0;0;30;83886592;0
146;0;0;0;7;894;0;246;135;135;0;0;0;30;83886096;0
# POWERON 01.01.0000 01:09:07
1;0;0;0;5;0;0;0;135;135;0;0;0;30;83886592;0
50;0;0;0;6;146;0;248;135;135;0;0;0;30;83886336;0
# POWERON 01.01.0000 01:10:17
1;0;0;0;4;0;0;0;135;135;0;0;0;30;83886592;0
50;0;0;0;5;320;0;248;135;135;0;0;0;30;83886336;0
111;0;0;0;5;1000;0;255;135;135;0;0;0;30;83886336;0
# POWERON 01.01.0000 01:36:35
1;0;0;0;4;0;0;0;135;135;0;0;0;30;83886592;0
50;0;0;0;5;633;0;248;135;135;0;0;0;30;83886085;0
# POWERON 01.01.0000 01:38:18
1;0;0;0;4;0;0;255;135;135;0;0;0;30;83886592;0
2;0;0;0;5;108;0;255;135;135;0;0;0;30;83886085;0
# POWERON 01.01.0000 01:00:00
1;0;0;0;4;0;0;0;135;135;0;0;0;30;83886592;0
50;0;0;0;5;633;0;247;135;135;0;0;0;30;83886085;0
# POWERON 01.01.0000 01:00:00
1;0;0;0;4;0;0;255;135;135;0;0;0;30;83886592;0
# POWERON 01.01.0000 01:00:21
1;0;0;0;4;0;0;255;135;135;0;0;0;30;83886592;0
50;0;0;0;6;599;0;248;135;135;0;0;0;30;83886085;0
# POWERON 01.01.0000 01:01:28
1;0;0;0;5;0;0;255;135;135;0;0;0;30;83886592;0
2;0;0;0;5;110;0;255;135;135;0;0;0;30;83886085;0
22;0;0;0;5;210;0;255;135;135;0;0;0;30;50331653;0
23;0;0;0;4;167;0;255;135;135;0;0;0;30;50332165;0
69;36;0;0;4;600;0;255;135;135;0;0;0;30;50332164;0
101;37;0;0;5;1000;0;255;135;135;0;0;0;30;50331652;0
162;37;0;0;5;227;0;255;135;135;0;0;0;30;50331652;0
# POWERON 01.01.0000 01:04:44
1;37;0;0;5;71;0;255;135;135;0;0;0;30;50332160;0
2;37;0;0;5;628;0;0;135;135;0;0;0;30;50332164;0
8;0;0;0;5;1000;0;255;135;135;0;0;0;30;50332165;0
26;29;0;0;5;1000;0;255;135;135;0;0;0;30;50332164;0
33;7;0;0;5;1000;0;255;135;135;0;0;0;30;50332165;0
35;22;0;0;5;1000;0;255;135;135;0;0;0;30;50332164;0
42;4;0;0;5;1000;0;255;135;135;0;0;0;30;50332165;0
45;24;0;0;5;1000;0;255;135;135;0;0;0;30;50332164;0
52;6;0;0;5;1000;0;255;135;135;0;0;0;30;50332165;0
55;25;0;0;5;1000;0;255;135;135;0;0;0;30;50332164;0
61;1;0;0;5;1000;0;255;135;135;0;0;0;30;50331669;0
64;20;0;0;5;1000;0;255;135;135;0;0;0;30;50331668;0
# POWERON 01.01.0000 01:06:12
1;37;0;0;5;3;0;255;135;135;0;0;0;30;50332164;0
34;36;0;0;5;21;0;255;135;135;0;0;0;30;50331908;0
# POWERON 01.01.0000 01:06:56
1;37;0;0;5;185;0;255;135;135;0;0;0;30;50332164;0
34;36;0;0;5;1000;0;255;135;135;0;0;0;30;50331652;0
# POWERON 01.01.0000 01:07:51
1;37;0;0;4;0;0;255;135;135;0;0;0;30;50332160;0
2;37;0;0;5;555;0;255;135;135;0;0;0;30;50332164;0
11;28;0;302;5;1000;0;0;135;135;0;0;0;30;83886596;0
12;36;0;0;5;443;0;255;135;135;0;0;0;30;83886624;0
# POWERON 01.01.0000 01:08:11
1;37;0;0;5;0;0;0;135;135;0;0;0;30;83886592;0
5;37;0;0;5;0;0;255;135;135;0;0;0;30;83886624;0
12;0;0;0;5;650;0;255;135;135;0;0;0;30;83886592;0
58;0;0;0;6;498;0;250;135;135;0;0;0;30;83886085;0
# POWERON 01.01.0000 01:09:19
1;0;0;0;4;0;0;255;135;135;0;0;0;30;83886592;0
2;0;0;0;4;103;0;255;135;135;0;0;0;30;83886085;0
# POWERON 01.01.0000 02:58:03
1;0;0;0;5;0;0;0;135;135;0;0;0;30;83886592;0
2;0;0;0;5;107;0;0;135;135;0;0;0;30;83886085;0
29;36;0;0;5;206;0;255;135;135;0;0;0;30;83886084;0
33;37;38;0;5;205;0;255;135;135;0;0;0;30;83886080;0
38;36;38;12;2;185;0;13;135;135;0;0;0;30;83951616;0
39;36;38;3;5;185;0;0;135;135;0;0;0;30;83951616;0
40;35;37;139;196;186;0;247;135;135;0;0;0;30;83951616;0
41;34;36;297;301;186;0;252;135;135;0;0;0;30;83951616;0
42;36;37;119;91;199;0;1;135;135;0;0;0;30;83951616;0
43;36;38;4;0;225;0;12;135;135;0;0;0;30;83951616;0
44;37;38;0;0;262;0;7;135;135;0;0;0;30;83951616;0
45;36;38;2;3;295;0;254;135;135;0;0;0;30;83951616;0
46;35;36;238;236;333;0;240;135;135;2457;10;0;30;83951616;0
47;35;36;157;225;358;0;0;135;135;2457;10;0;30;83951616;0
48;36;37;28;28;380;0;4;135;135;2457;10;0;30;83951616;0
49;36;38;1;0;393;0;12;135;135;2457;10;0;30;83951616;0
50;37;38;0;1;396;0;1;135;135;2457;10;0;30;83951616;0
51;35;36;119;204;392;0;240;135;135;2191;10;0;30;83951616;0
52;32;36;121;187;386;0;248;135;135;2191;10;0;30;83951616;0
53;28;37;80;166;378;0;0;135;135;2191;10;0;30;83951616;0
54;24;38;8;2;372;0;6;135;135;2191;10;0;30;83951616;0
55;20;38;1;0;366;0;10;135;135;2191;10;0;30;83951616;0
56;14;38;0;9;359;0;0;135;135;2191;10;0;30;83951616;0
57;6;35;172;406;349;0;236;135;135;2205;10;0;30;83951617;0
58;8;36;144;220;343;0;0;135;135;2205;10;0;30;83951617;0
59;14;37;56;110;336;0;1;135;135;2205;10;0;30;83951617;0
60;15;38;3;0;332;0;9;135;135;2205;10;0;30;83951617;0
61;15;38;0;0;330;0;6;135;135;2205;10;0;30;83951617;0
62;15;37;7;186;327;0;251;135;135;2205;10;0;30;83951616;0
63;9;36;142;267;324;0;246;135;135;2227;10;0;30;83951617;0
64;5;36;151;238;321;0;0;135;135;2227;10;0;30;83951617;0
65;3;37;23;28;318;0;3;135;135;2227;10;0;30;83951617;0
66;3;38;0;0;338;0;9;135;135;0;0;0;30;83953665;0
67;6;38;0;0;339;0;2;135;135;0;0;0;30;83953665;0
68;13;38;0;2;338;0;223;135;135;0;0;0;30;83953665;0
69;16;38;0;0;338;0;210;135;135;0;0;0;30;83953665;0
70;22;38;0;3;333;0;247;135;135;0;0;0;30;83953665;0
71;28;38;0;4;322;0;7;135;135;0;0;0;30;83953665;0
72;32;38;0;5;308;0;9;135;135;0;0;0;30;83953665;0
73;34;38;0;5;292;0;0;135;135;0;0;0;30;83953665;0
74;34;38;0;5;278;0;224;135;135;0;0;0;30;83953665;0
75;34;38;0;5;266;0;201;135;135;0;0;0;30;83953665;0
76;34;38;0;5;256;0;0;135;135;0;0;0;30;83951616;0
77;34;38;5;5;228;0;12;135;135;0;0;0;30;83951616;0
78;34;38;1;6;221;0;7;135;135;0;0;0;30;83951616;0
79;34;37;6;361;216;0;244;135;135;0;0;0;30;83951616;0
80;33;35;204;532;211;0;235;135;135;0;0;0;30;83951616;0
81;34;36;152;199;210;0;255;135;135;0;0;0;30;83951616;0
82;42;38;14;6;218;0;6;135;135;0;0;0;30;83951616;0
83;49;38;1;0;234;0;12;135;135;0;0;0;30;83951616;0
84;52;38;0;2;256;0;1;135;135;0;0;0;30;83951616;0
85;57;37;129;158;279;0;247;135;135;2186;10;0;30;83951616;0
86;59;36;123;256;298;0;246;135;135;2186;10;0;30;83951616;0
87;61;37;76;140;316;0;1;135;135;2186;10;0;30;83951616;0
88;60;38;5;0;328;0;6;135;135;2186;10;0;30;83951616;0
89;59;38;0;0;337;0;9;135;135;2186;10;0;30;83951616;0
90;59;37;0;17;341;0;0;135;135;2186;10;0;30;83951616;0
